consequent,antecedent,abs_support,%_support,confidence,lift
Major,"('veryLongDuration', 'veryLowLiveness', 'notExplicit')",3119,20.793333333333333,0.7338823529411764,0.9907510839814281
veryLowSpeechiness,"('highDanceability',)",5163,34.42,0.8979130434782608,0.9900540761668563
notExplicit,"('veryHighEnergy', 'Major', 'veryLowSpeechiness')",3494,23.293333333333333,0.9260535382984363,0.9897964282796454
notExplicit,"('veryLowInstrumentalness',)",5250,35.0,0.9257626520895785,0.9894855195485021
Major,"('veryLongDuration', 'veryLowLiveness')",3224,21.493333333333332,0.7323943661971831,0.988742281789015
notExplicit,"('veryLowAcousticness', 'veryLowLiveness')",4513,30.086666666666666,0.924037674037674,0.9876418063677577
notExplicit,"('longDuration', 'Major')",3183,21.22,0.9239477503628447,0.9875456929914971
notExplicit,"('veryLowAcousticness', 'veryLowLiveness', 'Major')",3208,21.386666666666667,0.9228998849252014,0.9864257000055594
veryLowSpeechiness,"('longDuration',)",4140,27.6,0.8945548833189283,0.9863513120982008
notExplicit,"('Minor',)",3586,23.906666666666666,0.9220879403445615,0.985557866977941
notExplicit,"(nan, 'Major')",3603,24.02,0.9217191097467383,0.9851636487246027
veryLowSpeechiness,"('lowLiveness',)",3062,20.413333333333334,0.8927113702623907,0.9843186234883755
notExplicit,"('veryHighEnergy', 'veryLowAcousticness', 'veryLowSpeechiness')",4002,26.68,0.9208467556373677,0.9842312480091574
notExplicit,"('lowLiveness',)",3158,21.05333333333333,0.9206997084548105,0.984074079152213
notExplicit,"('highEnergy',)",3379,22.526666666666667,0.920457640969763,0.9838153494760186
Major,"('highEnergy', 'veryLowSpeechiness', 'notExplicit')",2257,15.046666666666667,0.7278297323444051,0.9825799644645914
notExplicit,"('veryHighEnergy', 'veryLowLiveness')",2757,18.38,0.9177762982689747,0.9809494423567494
notExplicit,"('veryLowInstrumentalness', 'veryLowAcousticness', 'veryLowSpeechiness')",2808,18.72,0.9176470588235294,0.980811306993939
veryLowSpeechiness,"('Minor',)",3458,23.053333333333335,0.8891745950115711,0.9804189154052901
veryLowSpeechiness,"(nan, 'Major', 'notExplicit')",3203,21.35333333333333,0.8889814043852345,0.9802059001601381
notExplicit,"('veryHighEnergy', 'veryLowAcousticness', 'Major', 'veryLowSpeechiness')",2874,19.16,0.9164540816326531,0.9795362138014676
notExplicit,"('longDuration',)",4241,28.273333333333333,0.9163785652549697,0.9794554994174538
notExplicit,"('veryUnpopular', 'veryLowAcousticness')",3674,24.493333333333332,0.9162094763092269,0.9792747716002853
notExplicit,"('veryLowAcousticness',)",7382,49.21333333333333,0.9157672745316958,0.978802131820966
notExplicit,"('veryLowAcousticness', 'Major')",5307,35.38,0.9154735207866138,0.9784881581729519
Major,"('veryUnpopular', 'veryLowSpeechiness')",4154,27.69333333333333,0.724577010291296,0.9781887457807075
Major,"('highEnergy', 'veryLowSpeechiness')",2354,15.693333333333333,0.7245306248076331,0.9781261247515523
Major,"('veryUnpopular', 'veryLowSpeechiness', 'notExplicit')",3951,26.340000000000003,0.7237589302069977,0.977084326622713
Major,"('highDanceability', 'veryLowSpeechiness', 'notExplicit')",3586,23.906666666666666,0.722983870967742,0.9760379861863134
veryLowSpeechiness,"('highEnergy',)",3249,21.66,0.8850449468809589,0.9758654956787991
Major,"('highDanceability', 'veryLowLiveness', 'veryLowSpeechiness', 'notExplicit')",2545,16.966666666666665,0.7228060210167566,0.9757978863514849
Major,"('veryHighEnergy', 'veryLowAcousticness')",3405,22.7,0.7227764805773721,0.9757580063595159
Major,"('highEnergy', 'notExplicit')",2441,16.273333333333333,0.7224030778336786,0.9752539076145422
Major,"('veryUnpopular', 'notExplicit')",4280,28.53333333333333,0.7222409719878502,0.975035062534223
notExplicit,"('veryHighEnergy',)",5229,34.86,0.9120879120879121,0.9748695084308594
Major,"('veryHighEnergy',)",4139,27.59333333333333,0.7219605791034363,0.9746565283549224
